ID,NAME_EN,NAME_ZH
001.0,Cholera due to Vibrio cholerae,霍亂弧菌所致的霍亂
001.1,Cholera due to Vibrio cholerae el tor,異性霍亂弧菌所致霍亂
001.9,"Cholera, unspecified",霍亂
002.0,Typhoid fever,傷寒
002.1,Paratyphoid fever A,A型副傷寒
002.2,Paratyphoid fever B,B型副傷寒
002.3,Paratyphoid fever C,C型副傷寒
002.9,"Paratyphoid fever, unspecified",副傷寒
003.0,Salmonella gastroenteritis,沙門桿菌胃腸炎
003.1,Salmonella septicemia,沙門桿菌敗血症
003.20,"Localized salmonella infection, unspecified",局部沙門桿菌感染
003.21,Salmonella meningitis,沙門桿菌腦膜炎
003.22,Salmonella pneumonia,沙門桿菌肺炎
003.23,Salmonella arthritis,沙門桿菌關節炎
003.24,Salmonella osteomyelitis,沙門桿菌骨髓炎
003.29,Other localized salmonella infections,其他局部沙門桿菌感染
003.8,Other specified salmonella infections,其他特定的沙門桿菌感染
003.9,"Salmonella infection , unspecified",沙門桿菌感染
004.0,Shigella dysenteriae shigellosis,志賀桿菌性痢疾
004.1,Shigella flexneri shigellosis Shigella,flexneri志賀桿菌病
004.2,Shigella boydii shigellosis Shigella,boydii志賀桿菌病
004.3,Shigella sonnei shigellosis Shigella,sonnei志賀桿菌病
004.8,Other specified shigella infections shigellosis,其他特定的志賀桿菌感染的志賀桿菌病
004.9,"Shigellosis, unspecified",志賀桿菌病
005.0,Staphylococcal food poisoning,葡萄球菌食物中毒
005.1,Botulism food poisoning,臘腸桿菌食物中毒
005.2,Food poisoning due to Clostridium perfringens [C. Welchii],產氣梭狀桿菌(魏氏產氣梭菌)所致食物中毒
005.3,Food poisoning due to other Clostridia,其他梭菌所致食物中毒
005.4,Food poisoning due to Vibrio parahaemolyticus,副溶血弧菌所致食物中毒
005.81,Food poisoning due to Vibrio vulnificus,創傷弧菌所致食物中毒
005.89,Other bacterial food poisoning,其他細菌性食物中毒
005.9,"Food poisoning, unspecified",食物中毒
006.0,Acute amebic dysentery without mention of abscess,未提及膿瘍之急性阿米巴性痢疾
006.1,Chronic intestinal amebiasis without mention of abscess,未提及膿瘍之慢性腸道阿米巴病
006.2,Amebic nondysenteric colitis,阿米巴性非痢疾性大腸炎
006.3,Amebic liver abscess,阿米巴性肝膿瘍
006.4,Amebic lung abscess,阿米巴性肺膿瘍
006.5,Amebic brain abscess,阿米巴性腦膿瘍
006.6,Amebic skin ulceration,阿米巴性皮膚潰瘍
006.8,Amebic infection of other sites,其他部位之阿米巴感染
006.9,"Amebiasis, unspecified",阿米巴病
007.0,Balantidiasis,大腸纖毛虫病
007.1,Giardiasis,梨形鞭毛虫病
007.2,Coccidiosis,腸球蟲病
007.3,Intestinal trichomoniasis,腸道鞭毛虫病
007.4,Cryptosporidiosis,隱孢子蟲病
007.5,Cyclosporiasis,環孢蟲病
007.8,Other specified protozoal intestinal diseases,其他特定的原虫性腸道疾病
007.9,Unspecified protozoal intestinal diseases,原蟲性腸道疾病
008.00,Intestinal infections due to Escherichia coli[E.,coli]大腸桿菌所致腸道感染
008.01,Intestinal infections due to Enteropathogenic E. coli,腸病原性大腸桿菌所致腸道感染
008.02,Intestinal infections due to Enterotoxigenic E. coli,產腸毒大腸桿菌所致腸道感染
008.03,Intestinal infections due to Enteroinvasive E. coli,腸侵襲性大腸桿菌所致腸道感染
008.04,Intestinal infections due to Enterohemorrhagic E.,coli腸出血性大腸桿菌所致腸道感染
008.09,Intestinal infections due to other intestinal E. coli infections,其他腸道大腸桿菌所致腸道感染
008.1,Intestinal infections due to Arizona group of paracolon bacilli,亞利桑納屬副結腸桿菌所致腸道感染
008.2,Intestinal infections due to Aerobacter aerogenes,產氣桿菌所致腸道感染
008.3,Intestinal infections due to Proteus(mirabilis)(morganii),變形桿菌(奇異)(摩爾根)所致腸道感染
008.41,Intestinal infections due to Staphylococcus,葡萄球菌所致腸道感染
008.42,Intestinal infections due to Pseudomonas,假單胞菌所致腸道感染
008.43,Intestinal infections due to Campylobacter,彎曲桿菌所致腸道感染
008.44,Intestinal infections due to Yersinia enterocolitica,腸結腸炎Yersinia菌所致腸道感染
008.45,Intestinal infections due to Clostridium difficile,艱難梭菌所致腸道感染
008.46,Intestinal infections due to other anaerobes,其他厭氧菌所致腸道感染
008.47,Intestinal infections due to other Gram-negative bacteria,其他革蘭氏陰性菌所致腸道感染
008.49,Intestinal infections due to other organisms,其他病原體所致腸道感染
008.5,"Bacterial enteritis, unspecified",細菌性腸炎
008.61,Enteritis due to Rotavirus,輪狀病毒所致腸炎
008.62,Enteritis due to Adenovirus,腺病毒所致腸炎
008.63,Enteritis due to Norwalk virus,Norwalk病毒所致腸炎
008.64,Enteritis due to other small round viruses,[SRV’s]其他小圓形病毒所致腸炎
008.65,Enteritis due to Calcivirus,杯狀病毒所致腸炎
008.66,Enteritis due to Astrovirus,星狀病毒所致腸炎
008.67,"Enteritis due to Enterovirus, NEC",腸病毒所致腸炎，NEC
008.69,Enteritis due to other viral enteritis,其他病毒所致腸炎
008.8,"Intestinal infections due to other organism, not elsewhere classified",其他病原體所致腸道感染，NEC
009.0,"Infectious colitis, enteritis and gastroenteritis",感染性大腸炎，腸炎及胃腸炎
